Could Not Get Terminal. Make Sure You're Using A Terminal Emulator And Not A Socket (ex: vim)
         87807 function calls (84437 primitive calls) in 0.225 seconds

   Ordered by: standard name

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
      132    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:438(_classify_pyc)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:471(_validate_timestamp_pyc)
      396    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:51(_r_long)
      132    0.000    0.000    0.017    0.000 <frozen importlib._bootstrap_external>:523(_compile_bytecode)
     1682    0.001    0.000    0.004    0.000 <frozen importlib._bootstrap_external>:56(_path_join)
      163    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:574(spec_from_file_location)
     1682    0.001    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:58(<listcomp>)
      264    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:62(_path_split)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:719(create_module)
    132/3    0.001    0.000    0.225    0.075 <frozen importlib._bootstrap_external>:722(exec_module)
      710    0.000    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:74(_path_stat)
      132    0.001    0.000    0.029    0.000 <frozen importlib._bootstrap_external>:793(get_code)
      248    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:84(_path_is_mode_type)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:884(__init__)
      132    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:909(get_filename)
      132    0.005    0.000    0.008    0.000 <frozen importlib._bootstrap_external>:914(get_data)
      232    0.000    0.000    0.002    0.000 <frozen importlib._bootstrap_external>:93(_path_isfile)
      132    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:951(path_stats)
       16    0.000    0.000    0.000    0.000 <frozen importlib._bootstrap_external>:98(_path_isdir)
        1    0.000    0.000    0.000    0.000 <string>:1(<module>)
        1    0.000    0.000    0.000    0.000 <string>:1(__new__)
        1    0.000    0.000    0.000    0.000 __config__.py:3(<module>)
        7    0.000    0.000    0.003    0.000 __init__.py:1(<module>)
        1    0.000    0.000    0.013    0.013 __init__.py:10(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:102(Bool)
        1    0.000    0.000    0.000    0.000 __init__.py:106(Int)
        1    0.000    0.000    0.163    0.163 __init__.py:108(<module>)
        2    0.000    0.000    0.000    0.000 __init__.py:108(load_first_config)
        7    0.000    0.000    0.003    0.000 __init__.py:109(import_module)
        1    0.000    0.000    0.002    0.002 __init__.py:11(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:110(Double)
        1    0.000    0.000    0.000    0.000 __init__.py:114(Float)
        1    0.000    0.000    0.004    0.004 __init__.py:115(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:118(String)
        1    0.000    0.000    0.000    0.000 __init__.py:122(Point)
        1    0.000    0.000    0.017    0.017 __init__.py:125(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:126(Point2f)
        1    0.000    0.000    0.026    0.026 __init__.py:13(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:130(Size)
        1    0.000    0.000    0.000    0.000 __init__.py:134(Rect)
        1    0.000    0.000    0.000    0.000 __init__.py:138(Scalar)
       14    0.000    0.000    0.000    0.000 __init__.py:139(_check_size)
        1    0.000    0.000    0.000    0.000 __init__.py:142(Mat)
        1    0.000    0.000    0.000    0.000 __init__.py:146(GMat)
        1    0.000    0.000    0.000    0.000 __init__.py:150(Prim)
        1    0.000    0.000    0.000    0.000 __init__.py:151(py_object)
        1    0.000    0.000    0.000    0.000 __init__.py:154(Any)
        1    0.000    0.000    0.000    0.000 __init__.py:160(c_short)
        1    0.000    0.000    0.000    0.000 __init__.py:164(c_ushort)
     2266    0.000    0.000    0.000    0.000 __init__.py:167(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:168(c_long)
        1    0.000    0.000    0.000    0.000 __init__.py:172(c_ulong)
        1    0.000    0.000    0.000    0.000 __init__.py:181(c_int)
        1    0.000    0.000    0.000    0.000 __init__.py:185(c_uint)
        1    0.000    0.000    0.000    0.000 __init__.py:189(c_float)
        1    0.000    0.000    0.000    0.000 __init__.py:193(c_double)
        1    0.000    0.000    0.000    0.000 __init__.py:194(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:197(c_longdouble)
        1    0.000    0.000    0.003    0.003 __init__.py:201(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:218(c_ubyte)
        1    0.000    0.000    0.000    0.000 __init__.py:225(c_byte)
        1    0.000    0.000    0.000    0.000 __init__.py:230(c_char)
        1    0.000    0.000    0.000    0.000 __init__.py:235(c_char_p)
        1    0.000    0.000    0.000    0.000 __init__.py:241(c_void_p)
        1    0.000    0.000    0.000    0.000 __init__.py:246(c_bool)
        1    0.000    0.000    0.000    0.000 __init__.py:251(c_wchar_p)
        1    0.000    0.000    0.000    0.000 __init__.py:256(<dictcomp>)
        1    0.000    0.000    0.000    0.000 __init__.py:256(c_wchar)
        1    0.000    0.000    0.000    0.000 __init__.py:259(_reset_cache)
        3    0.000    0.000    0.000    0.000 __init__.py:299(loads)
        2    0.001    0.000    0.228    0.114 __init__.py:3(<module>)
       18    0.001    0.000    0.003    0.000 __init__.py:316(namedtuple)
        1    0.000    0.000    0.000    0.000 __init__.py:319(CDLL)
        6    0.000    0.000    0.003    0.000 __init__.py:32(__load_extra_py_code_for_module)
        1    0.000    0.000    0.000    0.000 __init__.py:337(_sanity_check)
        1    0.000    0.000    0.000    0.000 __init__.py:340(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:358(_FuncPtr)
        1    0.000    0.000    0.001    0.001 __init__.py:363(_mac_os_check)
        1    0.000    0.000    0.000    0.000 __init__.py:387(PyDLL)
      103    0.000    0.000    0.000    0.000 __init__.py:388(<genexpr>)
        1    0.000    0.000    0.011    0.011 __init__.py:41(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:427(LibraryLoader)
        2    0.000    0.000    0.000    0.000 __init__.py:428(__init__)
        1    0.000    0.000    0.000    0.000 __init__.py:44(GOpaque)
        3    0.000    0.000    0.000    0.000 __init__.py:489(PYFUNCTYPE)
        3    0.000    0.000    0.000    0.000 __init__.py:490(CFunctionType)
      134    0.000    0.000    0.000    0.000 __init__.py:51(<lambda>)
        1    0.000    0.000    0.000    0.000 __init__.py:51(Bool)
        1    0.000    0.000    0.000    0.000 __init__.py:55(Int)
        1    0.000    0.000    0.000    0.000 __init__.py:58(__collect_extra_submodules)
        1    0.000    0.000    0.000    0.000 __init__.py:59(Double)
       16    0.000    0.000    0.000    0.000 __init__.py:59(modules_filter)
        1    0.000    0.000    0.000    0.000 __init__.py:63(Float)
        1    0.000    0.000    0.000    0.000 __init__.py:67(String)
        1    0.000    0.000    0.091    0.091 __init__.py:7(<module>)
        8    0.000    0.000    0.000    0.000 __init__.py:7(register)
        1    0.000    0.000    0.005    0.005 __init__.py:71(<module>)
        1    0.000    0.000    0.000    0.000 __init__.py:71(Point)
        3    0.000    0.000    0.000    0.000 __init__.py:73(CFUNCTYPE)
        1    0.000    0.000    0.000    0.000 __init__.py:75(Point2f)
        1    0.001    0.001    0.006    0.006 __init__.py:77(bootstrap)
        1    0.000    0.000    0.000    0.000 __init__.py:79(Size)
        8    0.000    0.000    0.000    0.000 __init__.py:8(parameterized)
        1    0.000    0.000    0.000    0.000 __init__.py:83(Rect)
        1    0.000    0.000    0.000    0.000 __init__.py:87(Prim)
        1    0.000    0.000    0.000    0.000 __init__.py:9(Mat)
        1    0.000    0.000    0.000    0.000 __init__.py:91(Any)
        1    0.000    0.000    0.000    0.000 __init__.py:95(GArray)
        1    0.000    0.000    0.003    0.003 __init__.py:97(<module>)
        3    0.000    0.000    0.000    0.000 __init__.py:99(CFunctionType)
        1    0.000    0.000    0.004    0.004 _add_newdocs.py:10(<module>)
       52    0.000    0.000    0.000    0.000 _add_newdocs.py:6230(refer_to_array_attribute)
        1    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:17(numeric_type_aliases)
       18    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:18(type_aliases_gen)
        1    0.000    0.000    0.027    0.027 _add_newdocs_scalars.py:5(<module>)
       24    0.000    0.000    0.008    0.000 _add_newdocs_scalars.py:55(add_newdoc_for_scalar_type)
       34    0.000    0.000    0.000    0.000 _add_newdocs_scalars.py:61(<genexpr>)
       41    0.000    0.000    0.008    0.000 _add_newdocs_scalars.py:62(<genexpr>)
        1    0.000    0.000    0.000    0.000 _asarray.py:5(<module>)
        3    0.000    0.000    0.000    0.000 _bootlocale.py:33(getpreferredencoding)
        1    0.000    0.000    0.000    0.000 _collections_abc.py:349(__subclasshook__)
        3    0.000    0.000    0.000    0.000 _collections_abc.py:657(get)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:664(__contains__)
        2    0.000    0.000    0.000    0.000 _collections_abc.py:72(_check_methods)
       43    0.000    0.000    0.000    0.000 _compat_pickle.py:165(<genexpr>)
       85    0.000    0.000    0.000    0.000 _compat_pickle.py:167(<genexpr>)
        1    0.000    0.000    0.000    0.000 _compat_pickle.py:9(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:196(DataSource)
        1    0.000    0.000    0.000    0.000 _datasource.py:36(<module>)
        1    0.000    0.000    0.000    0.000 _datasource.py:536(Repository)
        1    0.000    0.000    0.000    0.000 _datasource.py:74(_FileOpeners)
        1    0.000    0.000    0.000    0.000 _datasource.py:99(__init__)
